Current_Partner,Former_Partner,When_Relationship_Start,When_Relationship_end,Relationship_end_Since,Reason_Relationship_end,Reason_Relationship_end_misc,Relationship_Problem_end_time,Relationship_Status,Relationship_Status_misc,Years_With_Partner,Number_Children,Age_Children,Youngest_Age_Children,Oldest_Age_Children,Highest_Education_Completed,Education_Impacted_By_Partner,Both_Physician_or_Student,Stay_at_home_parent,Small_Business_Owner,Contractor_Freelancer,Part_time_employment_<30_hours,Full_Time_Employment_30<,Volunteer,Student,Unemployed_looking_work,Work_Misc,Career_Impact_Partner,Life_Satisfaction,Stress_Factor_Lack_Time,Stress_Factor_Business,Stress_Factor_Work_Overload,Stress_Factor_Work_Issues_Home,Primary_Cause_Stress,Primary_Cause_Stress_misc,Family_Quality_Life,Mental_QoL,Physical_QoL,Emotional_QoL,Sexual_QoL,Overall_QoL,Time_Alone_Partner,Quality_Time_Partner,Partner_Tired_After,Partner_Irritable_After,Partner_Busy_Work_After,Partner_Work_No_Participation,Partner_Argue_Work_Time,Partner_Participant_Household_Activities,Pride_Medical_Family,Partner_Show_Appreciation,Sacrificses_Worthwhile,Partner_Time_Children,Children_3_Concerns,Children_Health_Conditions,Children_Mental_Conditions,Children_Discipline,Children_Effective_Comunication,Childreen_Screentime,Children_Academic_Performance,Children_Entitlement,Children_Friends,Children_Bullying,Children_Substances,Children_Self_Esteem,Children_Nutrition,Children_Sleep,Children_Physical_Image,Children_Extracurricular,Children_Body_Image,Children_Other,Community_Left_Out,Community_Unknwon,Community_Isolated,Community_Detached,Fullfilment_Individual,Fulfillment_as_Partner,Fulfillment_as_Parent,7_Days_Sleep_Quality,7_Days_Sleep_Refresh,7_Day_Sleep_Problem,7_Day_Problem_Fall_Asleep,Time_Moderate_Exercise,Time_Vigorous_Exercise,Time_Strength_Training,Frequency_Engage_Hobbies,Frequency_Relaxation_Techniques,Frequency_Draw_Religion,Frequency_Worship_Services,Participate_Counseling,Participate_Counseling_if_Problem,Participate_Individual_Counseling,Participate_Family_Counseling,Participate_Marriage_Enrichment,Participate_Physiciatric_Care,Participate_Support_Groups,Participate_Stress_Management,Participate_Addiction_Program,Participate_Life_Coaching,Participate_Pastoral,Participate_Support_Groups,Household_Annual_Salary,Household_Loan_End_Residency,Household_Loan_Current,Years_Post_residemcu,Alternative_Income,Education_Current_You,Satisfaction_Financial_Life,Frequency_Finance_Conflict,Frequency_Financial_Decision,Frequency_Savings_Decision,Frequency_Investment_Decision,Hours_Partner_Work,At_Call_Days_Per_Month,What is your physician partner's primary practice setting?,Number_Hospitals_Hired_Cumulative,Partner_Specialty,Partner_Specialty_Misc,Partner_Surgical_Specialty,Partner_Surgical_Specialty_Misc,Week_Vacation_Year,Frequency_Medical_Conference_Together,Frequency_Alone_Travel,Opinion_Workplace_Family_Supportive,Opinion_Workplace_Family_Supportive_Misc,Opinion_Partner_More_Effort,Opinion_Partner_More_Effort_Misc,Frequency_Thought_Breakup,Choose_Physician_Again,Choose_Partner_Again,Recommend_Physician_Career_Family,Age,Gender,Gender_Misc,Partner_Gender,Partner_Gender_Misc,Region_Country,Region_Other
Yes,,,,,,,,Married,,6-10 years,0,,,,"Master's degree (e.g. MA, MS, Med)",Positively,,,,,,Yes,,,,,Positively,84,Very stressful,Somewhat stressful,Somewhat stressful,Somewhat stressful,balancing my career with a physician partner,,82,87,80,75,51,80,91-120 minutes,46-60 minutes,Once a week,A few times a year or less,A few times a week,Frequently,Sometimes,Frequently,Frequently,Always,Always,Not applicable,not applicable,,,,,,,,,,,,,,,,,,Rarely,Rarely,Sometimes,Rarely,Very fulfilled,Very fulfilled,,fair,somewhat,somewhat,a little bit,>150 minutes per week (e.g. 2 1/2 hrs),121-150 minutes per week,three times per week,3-5 times per week,3-5 times per week,Daily,Seldom,"Yes, 1-2 times each month.",Would definitely go,Individual counseling or therapy,Marriage or family counseling,,,,,,,,,$50K-$99K,$300K-$399K,$100K-$199K,0,No,3rd year medical school (MS3),Neither satisfied nor dissatisfied,Rarely,Usually,,,50-59 hrs,0,"Not in practice, student",0,student,,,,0,Never,Few times a year,Neither agree nor disagree,,Agree,Resources for physician spouses/partners ,22,Yes,Yes,No,34,Female,Woman,Male,Man,Pacific,
Yes,,,,,,,,Married,,6-10 years,3,,0,2,"Master's degree (e.g. MA, MS, Med)",Negatively,,Yes,,,,,,,,,Negatively,65,Very stressful,Somewhat stressful,Very stressful,Very stressful,lack of time,,70,60,45,60,60,65,21-45 minutes,46-60 minutes,Every day,A few times a week,A few times a week,Frequently,Sometimes,Frequently,Always,Always,Frequently,45-59 minutes,,,mental and emotional needs,,,,,,,,,,nutrition/diet,sleep habits,,,,,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat fulfilled,Somewhat fulfilled,Very fulfilled,very poor,a little bit,very much,very much,61-120 minutes per week,61-120 minutes per week,none,Seldom,Never,Daily,Weekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,11-20 years,1,18 months ,,,"Master's degree (e.g. MA, MS, Med)",Not at all,,Yes,,Yes,,,,,,,Negatively,31,Very stressful,Neither stressful or not stressful,Very stressful,Very stressful,lack of time,,61,25,48,21,0,37,21-45 minutes,<20 minutes,Every day,Every day,Every day,Sometimes,Frequently,Sometimes,Rarely,Sometimes,Rarely,20-44 minutes,,,mental and emotional needs,,effective communication,,,entitlement,,,,,,,,,,,Usually,Sometimes,Always,Rarely,Somewhat fulfilled,Somewhat unfulfilled,Somewhat fulfilled,poor,a little bit,quite a bit,very much,>150 minutes per week (e.g. 2 1/2 hrs),<30 minutes per week,three times per week,Never,Weekly,Daily,Never,"Yes, 1-2 times each month.",Would probably not go,Individual counseling or therapy,,,,,,,,,,$50K-$99K,$400K-$499K,$400K-$499K,0,No,4th year residency (PGY4),Dissatisfied,Usually,Rarely,I do.,My spouse/partner does.,80-89 hrs,4,Hospital/Multi-physician group,4+,surgical specialty,,General,,4 weeks,Rarely,Never,Strongly disagree,,Strongly agree,"Working less hours, held accountable for staying late. Discouraging lying about their hours and not logging them. An average of 80+ hours over the month is unacceptable. No one should work over 80+ hours in one week regardless if they worked only 60 last week. More personal days that they can choose whenever they need to take them, doctors appointments, just to spend time with family, etc. vacation able to be taken whenever they want. 5 months out of the year we are unable to take vacation because of holidays, graduation, away rotations. That gives us a very limited time to take vacation and our vacation must be 5 days from Monday - Friday. We are unable to take long weekends, etc. this makes it difficult to plan and we have to plan all of these a year in advance. ",77,No,Yes,No,31,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,11-20 years,3,,9,10,"Doctorate degree (e.g. PhD, EdD)",Positively,,,,,,Yes,,,,,Positively,96,Not stressful at all,Somewhat not stressful,Somewhat not stressful,Not stressful at all,household management,,92,93,84,95,91,92,21-45 minutes,61-90 minutes,Once a month or less,A few times a year or less,A few times a year or less,Sometimes,Never,Always,Always,Always,Always,90+ minutes,,,,,,screen time,academic performance,,,,,,,,physical activity,,,,Rarely,Rarely,Rarely,Never,Very fulfilled,Very fulfilled,Very fulfilled,poor,a little bit,quite a bit,a little bit,121-150 minutes per week,61-120 minutes per week,none,Monthly,Never,Never,Never,"Yes, I did in the past.",Would probably go,Individual counseling or therapy,,,,,,,,,,$300K-$399K,$100K-$199K,$0 ,11-15 years,Yes,,Satisfied,Sometimes,Usually,,,50-59 hrs,3,Hospital/Multi-physician group,3,emergency medicine,,,,5 weeks,Rarely,Every few years,Agree,,Agree,Back up coverage if spouse is not able to work a shift due to family reasons or illness,0,Yes,Yes,Yes,42,Male,Man,Female,Woman,Canada,
Yes,,,,,,,,Committed/not married,,11-20 years,2,,12,15,"Some college, no degree",Not at all,,Yes,,,,Yes,,,,,Negatively,57,Somewhat stressful,Somewhat stressful,Somewhat stressful,Very stressful,marital issues,,65,20,70,26,40,50,46-60 minutes,<20 minutes,A few times a week,A few times a week,A few times a week,Sometimes,Frequently,Rarely,Sometimes,Rarely,Sometimes,0-19 minutes,,,mental and emotional needs,discipline/behavior,,screen time,,,,,,,,,,,,,Usually,Usually,Always,Always,Neither unfulfilled or fulfilled,Somewhat unfulfilled,Neither unfulfilled or fulfilled,fair,somewhat,a little bit,a little bit,61-120 minutes per week,<30 minutes per week,three times per week,Daily,Seldom,Never,Never,"Yes, I did in the past.",Would probably go,Individual counseling or therapy,Marriage or family counseling,,,,,,,,,$0K-$49K,$500K+,$1-$99K,0,No,Intern (PGY1),Satisfied,Always,Usually,,,80-89 hrs,3,"Not in practice, resident",0,family medicine,,,,4 weeks,Sometimes,Twice a year,Neither agree nor disagree,,Strongly agree,Less work hours or more pay as a resident. The current â€œnormâ€ is outdated and irrelevant to training. It is merely hazing and hospitals taking advantage of cheap labor bc â€œthatâ€™s the way itâ€™s always beenâ€ paying residents 1/5 of a doctors salary is a joke especially when they overwork them so much.,70,No,No,No,39,Male,Man,Female,Woman,Midwest,
Yes,,,,,,,,Married,,6-10 years,2,,4 months ,4 years ,"Some college, no degree",Not at all,,Yes,,,,,,,,,Not at all,100,Somewhat stressful,Neither stressful or not stressful,Somewhat stressful,Somewhat stressful,isolation from friends and family,,100,70,68,87,82,88,91-120 minutes,<20 minutes,Every day,A few times a month,A few times a week,Sometimes,Rarely,Always,Sometimes,Always,Always,90+ minutes,,,,discipline/behavior,,screen time,,,,,,,,,physical activity,,,,Rarely,Sometimes,Sometimes,Never,Very fulfilled,Very fulfilled,Very fulfilled,good,quite a bit,somewhat,a little bit,<30 minutes per week,<30 minutes per week,none,Monthly,Seldom,Daily,Never,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,,,,,,,,Pastoral,,$0K-$49K,$0 ,$0 ,0,Yes,5th year residency (PGY5),Neither satisfied nor dissatisfied,Rarely,Usually,,,70-79 hrs,2,"Not in practice, resident",0,surgical specialty,,General,,3 weeks,Never,Never,Strongly agree,They allow him to take off when needed,Neither agree nor disagree,,,,,,31,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,11-20 years,3,,2,7,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,Volunteer,,,,Not at all,66,Somewhat stressful,Somewhat stressful,Very stressful,Very stressful,parenting young children,,55,60,34,34,45,53,21-45 minutes,46-60 minutes,Once a week,A few times a week,A few times a week,Rarely,Rarely,Sometimes,Never,Rarely,Sometimes,45-59 minutes,,,mental and emotional needs,discipline/behavior,effective communication,,,,,,,,,,,,,,Sometimes,Sometimes,Usually,Sometimes,Neither unfulfilled or fulfilled,Somewhat fulfilled,Neither unfulfilled or fulfilled,poor,a little bit,quite a bit,somewhat,<30 minutes per week,<30 minutes per week,none,Seldom,Seldom,Daily,3-5 times per week,I never have.,Would probably not go,,,,,,,,,,,$100K-$199K,$0 ,$0 ,11-15 years,No,,Neither satisfied nor dissatisfied,Sometimes,Sometimes,My spouse/partner does.,My spouse/partner does.,80-89 hrs,0,Hospital/Multi-physician group,4+,internal medicine or related specialty,,,,2 weeks,Never,Never,Neither agree nor disagree,,Neither agree nor disagree,,,,,,,,,,,,
Yes,,,,,,,,Married,,6-10 years,1,2.5,,,"Bachelor's degree (e.g. BA, BS)",Negatively,,,,,,Yes,,,,,Negatively,,Very stressful,Very stressful,Very stressful,Very stressful,finances,,35,35,45,35,40,45,<20 minutes,21-45 minutes,A few times a week,A few times a week,A few times a week,Always,Frequently,Sometimes,Frequently,Frequently,Sometimes,0-19 minutes,,,mental and emotional needs,discipline/behavior,,,,,,,,,,,,extra-curricular activities,,,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat fulfilled,Neither unfulfilled or fulfilled,Very fulfilled,fair,somewhat,somewhat,not at all,>150 minutes per week (e.g. 2 1/2 hrs),30-60 minutes per week,twice per week,Weekly,Daily,Daily,Weekly,"Yes, several times a year.",Would definitely go,Individual counseling or therapy,Marriage or family counseling,,Psychiatric care,,,,,,,$50K-$99K,$1-$99K,$1-$99K,0,Yes,2nd year medical school (MS2),Dissatisfied,Sometimes,Sometimes,My spouse/partner does.,My spouse/partner does.,70-79 hrs,0,"Not in practice, student",0,student,,,,2 weeks,Rarely,Yearly,Strongly disagree,,Strongly agree,Understanding of partners being married and having children and having better resources available to manage work/life/study/rotations and more financially reasonable/ethical  pay during residency due to overtime hours and lifestyle and student loans overall.,25,Maybe,Yes,No,32,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,11-20 years,4,,2,9,"Bachelor's degree (e.g. BA, BS)",Negatively,,Yes,,,,,,,,,Negatively,67,Very stressful,Neither stressful or not stressful,Somewhat stressful,Somewhat not stressful,parenting young children,,71,53,100,52,52,71,61-90 minutes,<20 minutes,A few times a month,A few times a year or less,A few times a week,Always,Frequently,Always,Sometimes,Frequently,Frequently,20-44 minutes,,,mental and emotional needs,,,,academic performance,,,,,,,sleep habits,,,,,Sometimes,Usually,Usually,Usually,Somewhat fulfilled,Somewhat unfulfilled,Very fulfilled,fair,somewhat,quite a bit,quite a bit,>150 minutes per week (e.g. 2 1/2 hrs),>150 minutes per week (e.g. 2 1/2 hrs),four times per week or more,Daily,Seldom,3-5 times per week,Weekly,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,Marriage or family counseling,,,,,,,,,$400K-$499K,$200K-$299K,$100K-$199K,1-5 years,Yes,,Satisfied,Rarely,Usually,,,80-89 hrs,2,Private practice,1,obstetrics and gynecology,,,,> 7 weeks,Never,Every few years,Agree,Partners want what is best for each individual ,Agree,Holiday schedules bettwr,41,Yes,Yes,Maybe,,Female,Woman,Male,Man,Mountain West,
Yes,,,,,,,,Married,,1-5 years,0,,,,"Master's degree (e.g. MA, MS, Med)",Negatively,,,,,,Yes,,Student,,,Negatively,80,Very stressful,Neither stressful or not stressful,Very stressful,Very stressful,lack of time,,70,75,70,70,70,75,46-60 minutes,61-90 minutes,A few times a week,Every day,Every day,Frequently,Frequently,Rarely,Rarely,Sometimes,Sometimes,Not applicable,not applicable,,,,,,,,,,,,,,,,,,Sometimes,Sometimes,Sometimes,Sometimes,Neither unfulfilled or fulfilled,Somewhat fulfilled,,good,somewhat,a little bit,quite a bit,30-60 minutes per week,30-60 minutes per week,none,Monthly,Seldom,Weekly,Weekly,I never have.,Would probably go,,,,,,,,,,,$100K-$199K,$0 ,$0 ,0,No,2nd year medical school (MS2),Satisfied,Rarely,Always,,,70-79 hrs,2,Active Military,0,student,,,,2 weeks,Never,Yearly,Neither agree nor disagree,,Strongly agree,Less time required to be at the hospital/shorter shifts ,15,No,Yes,No,25,Female,Woman,Male,Man,Northeast,
Yes,,,,,,,,Married,,11-20 years,4,,4,10,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Not at all,85,Somewhat stressful,Somewhat stressful,Somewhat stressful,Somewhat stressful,lack of time,,91,91,77,75,86,88,21-45 minutes,<20 minutes,A few times a week,Once a month or less,Every day,Sometimes,Never,Sometimes,Frequently,Always,Always,20-44 minutes,,,mental and emotional needs,discipline/behavior,effective communication,,,,,,,,,,,,,,Sometimes,Sometimes,Usually,Sometimes,Somewhat fulfilled,Very fulfilled,Somewhat unfulfilled,good,quite a bit,a little bit,not at all,<30 minutes per week,<30 minutes per week,four times per week or more,3-5 times per week,3-5 times per week,Daily,Weekly,I never have.,Would probably go,,,,,,,,,,,$200K-$299K,$100K-$199K,$100K-$199K,1-5 years,No,,Satisfied,Rarely,,My spouse/partner does.,My spouse/partner does.,50-59 hrs,4,Hospital/Multi-physician group,1,internal medicine or related specialty,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,6-10 years,2,,1,2,"Master's degree (e.g. MA, MS, Med)",Not at all,,Yes,,,,,,,,,Negatively,80,Somewhat stressful,Somewhat stressful,Somewhat stressful,Somewhat stressful,lack of time,,80,85,80,70,90,85,61-90 minutes,61-90 minutes,A few times a month,A few times a week,A few times a week,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,20-44 minutes,,,mental and emotional needs,discipline/behavior,,,,,friends,,,,,,,,,,Sometimes,Sometimes,Usually,Sometimes,Somewhat fulfilled,Somewhat fulfilled,Somewhat fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,>20 years,3,,50,55,"Bachelor's degree (e.g. BA, BS)",Not at all,,,,,,,,,,Retired,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,11-20 years,3,,4,9,"Master's degree (e.g. MA, MS, Med)",Not at all,,Yes,,,,,Volunteer,,,,Negatively,70,Very stressful,Somewhat stressful,Somewhat not stressful,Neither stressful or not stressful,lack of time,,70,50,80,50,75,80,21-45 minutes,46-60 minutes,A few times a week,A few times a month,Every day,Frequently,Always,Frequently,Always,Frequently,Sometimes,20-44 minutes,,,mental and emotional needs,discipline/behavior,,,,,,,,,,,,,,Faith/Religion,Sometimes,Rarely,Sometimes,Rarely,Somewhat fulfilled,Somewhat unfulfilled,Somewhat fulfilled,good,quite a bit,not at all,not at all,>150 minutes per week (e.g. 2 1/2 hrs),>150 minutes per week (e.g. 2 1/2 hrs),none,Monthly,Daily,Daily,Weekly,I never have.,Would probably not go,,,,,,,,,,,$50K-$99K,$100K-$199K,$100K-$199K,1-5 years,No,,Satisfied,Rarely,Sometimes,My spouse/partner does.,I do.,>90 hours,7+,Hospital/Multi-physician group,0,surgical specialty,,Other (please specify),hepatobiliary ,2 weeks,Sometimes,Yearly,Neither agree nor disagree,,Agree,Less call shifts,10,Maybe,Yes,No,36,Female,Woman,Male,Man,Canada,
Yes,,,,,,,,Married,,6-10 years,3,,2,13,"Associate degree (e.g. AA, AS)",Not at all,,,,,,Yes,,,,,Not at all,88,Somewhat stressful,Somewhat not stressful,Neither stressful or not stressful,Somewhat stressful,lack of time,,90,76,57,88,86,87,21-45 minutes,46-60 minutes,A few times a month,A few times a year or less,A few times a month,Sometimes,Rarely,Frequently,Frequently,Frequently,Frequently,20-44 minutes,,,,,,,,,friends,,,self-esteem/confidence,,sleep habits,,,,,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat fulfilled,Somewhat fulfilled,Somewhat fulfilled,fair,quite a bit,a little bit,not at all,<30 minutes per week,<30 minutes per week,none,3-5 times per week,Monthly,Seldom,Seldom,"Yes, 1-2 times each month.",Would probably go,Individual counseling or therapy,Marriage or family counseling,,,,,,,,,$50K-$99K,$100K-$199K,$100K-$199K,0,Yes,4th year medical school (MS4),Satisfied,Rarely,Sometimes,My spouse/partner does.,My spouse/partner does.,50-59 hrs,1,"Not in practice, student",0,student,,,,2 weeks,Rarely,Twice a year,Agree,Flexible with paternity leave and adjusting clinical rotations and testing. ,Neither agree nor disagree,,,,,,36,Female,Woman,Male,Man,Midwest,
No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,11-20 years,5+,,5,15,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Negatively,82,Somewhat stressful,Very stressful,Very stressful,Somewhat stressful,parenting young children,,81,70,68,70,61,79,<20 minutes,<20 minutes,Every day,A few times a week,A few times a week,Frequently,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,0-19 minutes,,,mental and emotional needs,discipline/behavior,,,,,friends,,,,,,,,,,Rarely,Rarely,Rarely,Rarely,Somewhat fulfilled,Somewhat fulfilled,Somewhat fulfilled,poor,somewhat,somewhat,a little bit,61-120 minutes per week,30-60 minutes per week,once per week,Seldom,Weekly,Daily,Weekly,I never have.,Would probably go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,6-10 years,2,,Almost born,2,"Bachelor's degree (e.g. BA, BS)",Negatively,,Yes,,Yes,,,,,,,Negatively,62,Somewhat stressful,Not stressful at all,Somewhat stressful,Somewhat not stressful,parenting young children,,100,77,75,79,94,91,61-90 minutes,21-45 minutes,A few times a week,A few times a year or less,Every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,11-20 years,4,,7,12,"Bachelor's degree (e.g. BA, BS)",Negatively,,Yes,,,,,,,,,Negatively,88,Somewhat stressful,Somewhat not stressful,Somewhat stressful,Somewhat stressful,lack of time,,86,85,73,83,76,80,46-60 minutes,21-45 minutes,Once a month or less,A few times a month,A few times a month,Sometimes,Never,Always,Frequently,Frequently,Frequently,45-59 minutes,,,mental and emotional needs,,,screen time,,,friends,,,,,,,,,,Sometimes,Sometimes,Sometimes,Usually,Somewhat fulfilled,Somewhat fulfilled,Somewhat fulfilled,good,somewhat,a little bit,a little bit,30-60 minutes per week,<30 minutes per week,none,Weekly,Seldom,Daily,Weekly,I never have.,Would probably go,,,,,,,,,,,$400K-$499K,$100K-$199K,$0 ,1-5 years,No,,Satisfied,Never,Always,,,40-49 hrs,4,Hospital/Multi-physician group,1,anesthesiology,,,,> 7 weeks,Sometimes,Yearly,Strongly agree,Willing to work with everyoneâ€™s schedules so that they can be at their kids activities,Neither agree nor disagree,,,,,,39,Female,Woman,Male,Man,Mountain West,
Yes,,,,,,,,Married,,>20 years,2,,27,28,"Master's degree (e.g. MA, MS, Med)",Not at all,,,,,,Yes,,,,,Positively,,Somewhat stressful,Somewhat stressful,Somewhat stressful,Very stressful,finances,,71,50,50,52,53,52,>120 minutes,61-90 minutes,Every day,A few times a month,Every day,Frequently,Sometimes,Rarely,Sometimes,Frequently,Sometimes,Not applicable,,,mental and emotional needs,,,,,,friends,,,,,,,,body image,,Rarely,Sometimes,Sometimes,Rarely,Somewhat fulfilled,Somewhat fulfilled,Somewhat fulfilled,fair,a little bit,somewhat,a little bit,30-60 minutes per week,<30 minutes per week,none,3-5 times per week,Never,Daily,Weekly,I never have.,Would probably go,,,,,,,,,,,$100K-$199K,$100K-$199K,$0 ,21-25 years,Yes,,Dissatisfied,Sometimes,Always,,,>90 hours,0,Private practice,2,,,Other (please specify),non surgeon,2 weeks,Rarely,Every other year,Neither agree nor disagree,,Neither agree nor disagree,,,,,,58,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,>20 years,3,,30,40,"Master's degree (e.g. MA, MS, Med)",Negatively,,,,Yes,Yes,,Volunteer,,,,Not at all,77,Somewhat stressful,Very stressful,Somewhat stressful,Somewhat stressful,balancing my career with a physician partner,,79,72,79,77,61,76,61-90 minutes,21-45 minutes,Every day,A few times a week,A few times a month,Frequently,Sometimes,Never,Rarely,Sometimes,Sometimes,0-19 minutes,not applicable,,,,,,,,,,,,,,,,,,Never,Sometimes,Sometimes,Sometimes,Very fulfilled,Somewhat fulfilled,Somewhat fulfilled,fair,somewhat,quite a bit,not at all,61-120 minutes per week,30-60 minutes per week,once per week,2-3 times per month,Seldom,Daily,Weekly,I never have.,Would probably go,,,,,,,,,,,$200K-$299K,$0 ,$0 ,31+ years,No,,Satisfied,Sometimes,Usually,,,50-59 hrs,0,Hospital/Multi-physician group,2,Other (please specify),Critical care-pulmonary ,,,5 weeks,Sometimes,Several times a year,Neither agree nor disagree,,Neither agree nor disagree,,,,,,68,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Committed/not married,,1-5 years,0,,,,"Master's degree (e.g. MA, MS, Med)",Not at all,,,,,,Yes,,,,,Positively,86,Somewhat not stressful,Somewhat stressful,Somewhat not stressful,Neither stressful or not stressful,isolation from friends and family,,100,80,90,80,60,90,>120 minutes,>120 minutes,A few times a month,Once a month or less,A few times a week,Rarely,Never,Frequently,Rarely,Frequently,Always,Not applicable,,,,,,,,,,,,,,,,,,,Usually,Usually,Usually,Sometimes,Very fulfilled,Very fulfilled,,good,somewhat,a little bit,not at all,30-60 minutes per week,>150 minutes per week (e.g. 2 1/2 hrs),three times per week,Daily,Never,Seldom,Seldom,"Yes, I did in the past.",Would definitely not go,Individual counseling or therapy,,,Psychiatric care,,,,,,,$600K-$699K,$300K-$399K,$300K-$399K,0,No,7th year residency (PGY7) or greater,Very satisfied,Never,Always,,,40-49 hrs,7+,Hospital/Multi-physician group,1,surgical specialty,,Plastic,,2 weeks,Never,Several times a year,Agree,,Neither agree nor disagree,,,,,,36,Female,Woman,Male,Man,Mountain West,
Yes,,,,,,,,Married,,>20 years,3,,3,12,"Bachelor's degree (e.g. BA, BS)",Negatively,,Yes,,,,,,,,,Negatively,6,Somewhat stressful,Very stressful,Somewhat stressful,Very stressful,marital issues,,21,0,10,9,9,7,<20 minutes,<20 minutes,Every day,A few times a week,A few times a week,Sometimes,Rarely,Rarely,Never,Never,Never,20-44 minutes,,,mental and emotional needs,,effective communication,,,,,,,,,,physical activity,,,,Usually,Usually,Always,Usually,Not fulfilled at all,Not fulfilled at all,Somewhat fulfilled,very poor,not at all,very much,very much,<30 minutes per week,<30 minutes per week,none,Seldom,Never,Never,Never,"Yes, I did in the past.",Would definitely not go,Individual counseling or therapy,,,,,,,,,,$200K-$299K,$300K-$399K,$200K-$299K,6-10 years,No,,Very dissatisfied,Usually,Never,I do.,I do.,50-59 hrs,0,Other (please specify),1,family medicine,,,,3 weeks,Never,Never,Strongly disagree,,Strongly agree,,93,No,No,No,45,Female,Woman,Male,Man,Alaska/Islands,
Yes,,,,,,,,Married,,6-10 years,2,,8 months,3,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Engaged,,1-5 years,0,,,,"Master's degree (e.g. MA, MS, Med)",Not at all,,,,,,Yes,,,,,Not at all,70,Very stressful,Neither stressful or not stressful,Very stressful,Very stressful,isolation from friends and family,,75,65,60,70,70,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,11-20 years,4,,"3, but currently also 25 weeks pregnant with #5 ",9,"Bachelor's degree (e.g. BA, BS)",Negatively,,Yes,,,,,,,,,Not at all,75,Very stressful,Not stressful at all,Very stressful,Somewhat stressful,lack of time,,80,60,60,60,65,75,91-120 minutes,61-90 minutes,A few times a year or less,A few times a year or less,A few times a week,Frequently,Sometimes,Always,Rarely,Always,Sometimes,60-89 minutes,,,mental and emotional needs,,effective communication,,,,,,,,,,,extra-curricular activities,,,Usually,Usually,Usually,Usually,Somewhat fulfilled,Somewhat fulfilled,Very fulfilled,poor,a little bit,quite a bit,quite a bit,61-120 minutes per week,<30 minutes per week,twice per week,Seldom,Monthly,Daily,Weekly,"Yes, I did in the past.",Would probably not go,Individual counseling or therapy,Marriage or family counseling,,,Support group,,,,,,$50K-$99K,$500K+,$400K-$499K,0,No,5th year residency (PGY5),Neither satisfied nor dissatisfied,Rarely,Sometimes,My spouse/partner does.,My spouse/partner does.,60-69 hrs,7+,Hospital/Multi-physician group,0,pediatrics or related specialty,,,,4 weeks,Never,Every few years,Neither agree nor disagree,,Agree,Events where families are invited. ,5,Maybe,Yes,Maybe,,,,,,,
